long,lat,group,order,region,subregion
13.24374962,9.91591835,1051,66418,Nigeria,
13.23876953,9.814013481,1051,66419,Nigeria,
13.22119141,9.645165443,1051,66420,Nigeria,
13.19873047,9.563770294,1051,66421,Nigeria,
13.17548752,9.539648056,1051,66422,Nigeria,
13.01943302,9.488329887,1051,66423,Nigeria,
12.92949295,9.426269531,1051,66424,Nigeria,
12.87568378,9.303516388,1051,66425,Nigeria,
12.85595703,9.170752525,1051,66426,Nigeria,
12.82441425,9.019433975,1051,66427,Nigeria,
12.80654335,8.886620522,1051,66428,Nigeria,
12.78222656,8.817871094,1051,66429,Nigeria,
12.73115253,8.745654106,1051,66430,Nigeria,
12.65156269,8.6677742,1051,66431,Nigeria,
12.58271408,8.624121666,1051,66432,Nigeria,
12.40351582,8.595556259,1051,66433,Nigeria,
12.31132793,8.419726372,1051,66434,Nigeria,
12.23339844,8.282323837,1051,66435,Nigeria,
12.23115253,8.227392197,1051,66436,Nigeria,
12.15595627,7.942480564,1051,66437,Nigeria,
12.02519512,7.727782726,1051,66438,Nigeria,
12.01660156,7.652001858,1051,66439,Nigeria,
12.01601601,7.589746475,1051,66440,Nigeria,
11.85244179,7.400732994,1051,66441,Nigeria,
11.80918026,7.345068455,1051,66442,Nigeria,
11.76738262,7.272265434,1051,66443,Nigeria,
11.80859375,7.201952934,1051,66444,Nigeria,
11.85478497,7.137988091,1051,66445,Nigeria,
11.8614254,7.116405964,1051,66446,Nigeria,
11.78701115,7.056200981,1051,66447,Nigeria,
11.65751934,6.951562405,1051,66448,Nigeria,
11.58007813,6.888866901,1051,66449,Nigeria,
11.56298828,6.8546381,1051,66450,Nigeria,
11.55165958,6.697266102,1051,66451,Nigeria,
11.52910137,6.65502882,1051,66452,Nigeria,
11.47753906,6.597412109,1051,66453,Nigeria,
11.40175819,6.533935547,1051,66454,Nigeria,
11.3246088,6.484668255,1051,66455,Nigeria,
11.23730469,6.450536728,1051,66456,Nigeria,
11.15332031,6.437939644,1051,66457,Nigeria,
11.10644531,6.457715034,1051,66458,Nigeria,
11.07968807,6.505517483,1051,66459,Nigeria,
11.03251934,6.697899818,1051,66460,Nigeria,
11.00869179,6.739110947,1051,66461,Nigeria,
10.95419979,6.776562691,1051,66462,Nigeria,
10.84648418,6.881786823,1051,66463,Nigeria,
10.73759747,6.988281727,1051,66464,Nigeria,
10.60624981,7.063086033,1051,66465,Nigeria,
10.578125,7.057714939,1051,66466,Nigeria,
10.55634785,7.03745079,1051,66467,Nigeria,
10.51904297,6.930468559,1051,66468,Nigeria,
10.48232365,6.89125967,1051,66469,Nigeria,
10.41318321,6.877734661,1051,66470,Nigeria,
10.29306602,6.876758099,1051,66471,Nigeria,
10.20546913,6.891601563,1051,66472,Nigeria,
10.18554688,6.912793159,1051,66473,Nigeria,
10.16777325,6.959179878,1051,66474,Nigeria,
10.14355469,6.996436119,1051,66475,Nigeria,
10.03886795,6.921386719,1051,66476,Nigeria,
9.874218941,6.80327177,1051,66477,Nigeria,
9.820702553,6.783935547,1051,66478,Nigeria,
9.779883385,6.760155678,1051,66479,Nigeria,
9.725585938,6.650000095,1051,66480,Nigeria,
9.659960747,6.531982422,1051,66481,Nigeria,
9.574023247,6.470410347,1051,66482,Nigeria,
9.490234375,6.418652534,1051,66483,Nigeria,
9.442187309,6.373388767,1051,66484,Nigeria,
9.373339653,6.319628716,1051,66485,Nigeria,
